,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
48,49,Larry Donnell,NYG,26,TE,16,12,92,63,68.50%,623,9.9,6,36,32,6.8,3.9,38.9,4,2014
49,50,Larry Fitzgerald,ARI,31,WR,14,13,103,63,61.20%,784,12.4,2,39,80,7.6,4.5,56.0,1,2014
50,51,Andrew Hawkins,CLE,28,WR,15,15,112,63,56.30%,824,13.1,2,44,65,7.4,4.2,54.9,0,2014
51,52,Kenny Stills,NOR,22,WR,15,7,83,63,75.90%,931,14.8,3,47,69,11.2,4.2,62.1,1,2014
52,53,Delanie Walker,TEN,30,TE,15,14,106,63,59.40%,890,14.1,4,34,68,8.4,4.2,59.3,2,2014
53,54,Jermaine Gresham,CIN,26,TE,15,15,79,62,78.50%,460,7.4,5,24,23,5.8,4.1,30.7,3,2014
54,55,Eddie Royal,SDG,28,WR,16,11,91,62,68.10%,778,12.5,7,39,47,8.5,3.9,48.6,1,2014
55,56,Brandon Marshall,CHI,30,WR,13,13,106,61,57.50%,721,11.8,8,41,47,6.8,4.7,55.5,1,2014
56,57,Dwayne Bowe,KAN,30,WR,15,15,95,60,63.20%,754,12.6,0,42,37,7.9,4.0,50.3,2,2014
57,58,Marques Colston,NOR,31,WR,16,13,100,59,59.00%,902,15.3,5,45,57,9.0,3.7,56.4,1,2014
58,59,Greg Jennings,MIN,31,WR,16,13,92,59,64.10%,742,12.6,6,40,38,8.1,3.7,46.4,1,2014
59,60,Charles Clay,MIA,25,TE,14,14,84,58,69.00%,605,10.4,3,31,41,7.2,4.1,43.2,0,2014
60,61,Zach Ertz,PHI,24,TE,16,5,89,58,65.20%,702,12.1,3,42,35,7.9,3.6,43.9,1,2014
61,62,Mychal Rivera,OAK,24,TE,16,10,99,58,58.60%,534,9.2,4,29,33,5.4,3.6,33.4,3,2014
62,63,DeMarco Murray*+,DAL,26,RB,16,16,64,57,89.10%,416,7.3,0,17,34,6.5,3.6,26.0,6,2014
